`;GTDEM10Y Govt;GTFRF10Y Govt;GTESP10Y Govt;GTITL10Y Govt;GTGBP10Y Govt;GT10 @BGN Govt;GTJPY10Y Govt;GTCAD10Y Govt;GTAUD10Y Govt;GTCHF10Y Govt;GTSEK10Y Govt;GTSIT10Y Govt
01.01.2014;1,925;2,553;4,128;4,084;3,021;3,029;0,736;2,755;4,235;1,056;2,496;5,057
02.01.2014;1,94;2,555;3,968;3,968;3,025;2,99;0,736;2,739;4,332;1,056;2,503;5,009
03.01.2014;1,942;2,547;3,869;3,913;3,023;2,996;0,736;2,748;4,3445;1,238;2,492;4,945
06.01.2014;1,906;2,524;3,902;3,937;2,971;2,959;0,722;2,712;4,3758;1,191;2,457;4,972
07.01.2014;1,885;2,493;3,801;3,87;2,949;2,94;0,69;2,678;4,3183;1,184;2,438;4,934
08.01.2014;1,903;2,508;3,783;3,882;2,972;2,99;0,703;2,719;4,3023;1,204;2,448;4,87
09.01.2014;1,914;2,57;3,797;3,923;2,982;2,966;0,694;2,68;4,321;1,237;2,458;4,819
10.01.2014;1,842;2,501;3,809;3,915;2,871;2,859;0,697;2,555;4,2673;1,231;2,398;4,736
13.01.2014;1,816;2,481;3,817;3,882;2,826;2,827;0,697;2,541;4,2295;1,211;2,375;4,722
14.01.2014;1,813;2,464;3,813;3,876;2,833;2,872;0,65;2,583;4,196;1,183;2,396;4,605
15.01.2014;1,824;2,479;3,758;3,859;2,862;2,892;0,66;2,576;4,2348;1,178;2,425;4,598
16.01.2014;1,779;2,446;3,729;3,84;2,809;2,842;0,673;2,525;4,1798;1,146;2,375;4,62
17.01.2014;1,752;2,412;3,708;3,821;2,829;2,82;0,669;2,501;4,101;1,14;2,36;4,621
20.01.2014;1,74;2,392;3,681;3,794;2,827;2,82;0,663;2,488;4,083;1,12;2,324;4,645
21.01.2014;1,738;2,405;3,731;3,83;2,833;2,83;0,683;2,505;4,1098;1,106;2,331;4,613
22.01.2014;1,756;2,439;3,732;3,83;2,885;2,866;0,671;2,49;4,1873;1,091;2,366;4,616
23.01.2014;1,708;2,423;3,748;3,858;2,808;2,778;0,656;2,402;4,1723;1,066;2,321;4,634
24.01.2014;1,657;2,375;3,792;3,912;2,771;2,716;0,627;2,396;4,048;1,04;2,269;4,879
27.01.2014;1,664;2,363;3,749;3,895;2,774;2,749;0,635;2,422;4,0178;1,039;2,285;4,932
28.01.2014;1,676;2,363;3,697;3,848;2,805;2,75;0,628;2,419;4,029;1,042;2,302;4,818
29.01.2014;1,74;2,338;3,704;3,853;2,76;2,678;0,63;2,362;4,116;1,022;2,265;4,844
30.01.2014;1,714;2,305;3,692;3,817;2,75;2,696;0,62;2,371;4,007;1,007;2,248;4,879
31.01.2014;1,658;2,227;3,655;3,766;2,705;2,645;0,617;2,336;3,9985;0,999;2,201;4,899
03.02.2014;1,643;2,213;3,743;3,775;2,688;2,577;0,61;2,293;3,9998;0,972;2,206;4,884
04.02.2014;1,649;2,23;3,749;3,782;2,7;2,63;0,608;2,343;3,9945;0,975;2,213;4,832
05.02.2014;1,635;2,226;3,714;3,759;2,688;2,668;0,595;2,388;4,0205;0,971;2,215;4,804
06.02.2014;1,694;2,281;3,652;3,759;2,745;2,701;0,61;2,434;4,0865;1,011;2,268;4,766
07.02.2014;1,66;2,242;3,58;3,686;2,711;2,684;0,615;2,405;4,1525;0,997;2,222;4,775
10.02.2014;1,678;2,274;3,575;3,683;2,718;2,668;0,603;2,402;4,141;1,007;2,232;4,65
11.02.2014;1,685;2,278;3,596;3,681;2,741;2,726;0,603;2,455;4,1828;1,026;2,253;4,449
12.02.2014;1,714;2,304;3,648;3,728;2,818;2,762;0,606;2,482;4,2203;1,054;2,262;4,338
13.02.2014;1,666;2,267;3,618;3,707;2,789;2,733;0,598;2,457;4,1748;1,035;2,242;4,334
14.02.2014;1,678;2,278;3,585;3,686;2,792;2,744;0,594;2,462;4,1055;1,026;2,258;4,326
17.02.2014;1,683;2,279;3,535;3,614;2,781;2,744;0,597;2,462;4,161;1,02;2,262;4,274
18.02.2014;1,666;2,251;3,512;3,556;2,745;2,708;0,597;2,437;4,183;1,007;2,207;4,28
19.02.2014;1,66;2,255;3,555;3,588;2,73;2,74;0,598;2,441;4,1438;0,993;2,168;4,276
20.02.2014;1,689;2,293;3,597;3,648;2,797;2,752;0,583;2,544;4,1443;1,01;2,185;4,248
21.02.2014;1,661;2,255;3,545;3,597;2,78;2,732;0,597;2,516;4,2195;0,998;2,196;4,124
24.02.2014;1,678;2,271;3,553;3,618;2,773;2,739;0,59;2,519;4,1738;0,991;2,211;4,113
25.02.2014;1,645;2,228;3,546;3,584;2,743;2,703;0,587;2,484;4,1693;0,988;2,202;4,107
26.02.2014;1,616;2,197;3,531;3,537;2,724;2,666;0,587;2,441;4,125;0,974;2,184;4,078
27.02.2014;1,562;2,124;3,487;3,458;2,674;2,64;0,582;2,412;4,062;0,956;2,139;4,059
28.02.2014;1,623;2,194;3,504;3,478;2,718;2,648;0,581;2,423;4,0195;0,991;2,218;4,037
03.03.2014;1,55;2,133;3,498;3,452;2,645;2,602;0,574;2,399;3,9808;0,913;2,144;4,089
04.03.2014;1,597;2,17;3,437;3,421;2,696;2,699;0,582;2,467;4,0045;0,937;2,178;4,05
05.03.2014;1,604;2,17;3,358;3,375;2,718;2,706;0,604;2,473;4,0618;0,955;2,186;3,92
06.03.2014;1,646;2,216;3,399;3,44;2,766;2,738;0,617;2,506;4,1;1,006;2,212;3,903
07.03.2014;1,652;2,214;3,359;3,42;2,793;2,789;0,623;2,519;4,167;1,01;2,213;3,932
10.03.2014;1,624;2,199;3,3;3,367;2,795;2,778;0,625;2,493;4,207;0,995;2,184;3,9
11.03.2014;1,637;2,218;3,317;3,397;2,781;2,769;0,628;2,483;4,1813;0,998;2,181;3,879
12.03.2014;1,595;2,183;3,343;3,419;2,751;2,731;0,625;2,449;4,1728;0,975;2,117;3,916
13.03.2014;1,54;2,137;3,375;3,434;2,687;2,645;0,639;2,382;4,17;0,908;2,086;3,896
14.03.2014;1,545;2,122;3,334;3,403;2,663;2,655;0,62;2,391;4,038;0,95;2,08;3,946
17.03.2014;1,566;2,13;3,313;3,376;2,681;2,693;0,619;2,427;4,046;0,966;2,109;3,921
18.03.2014;1,566;2,119;3,301;3,363;2,676;2,673;0,615;2,402;4,0828;0,968;2,104;3,936
19.03.2014;1,598;2,161;3,336;3,394;2,696;2,773;0,609;2,472;4,0645;0,976;2,131;3,912
20.03.2014;1,645;2,186;3,362;3,427;2,765;2,773;0,594;2,499;4,1283;1,004;2,207;3,904
21.03.2014;1,63;2,158;3,351;3,412;2,745;2,743;0,594;2,483;4,1565;1,001;2,204;3,892
24.03.2014;1,577;2,12;3,346;3,409;2,685;2,729;0,609;2,456;4,1655;0,966;2,174;3,887
25.03.2014;1,576;2,118;3,326;3,392;2,707;2,749;0,604;2,476;4,1185;0,936;2,149;3,863
26.03.2014;1,567;2,096;3,278;3,336;2,698;2,693;0,627;2,443;4,11;0,949;2,121;3,724
27.03.2014;1,535;2,057;3,248;3,305;2,675;2,682;0,625;2,433;4,0823;0,916;2,103;3,698
28.03.2014;1,548;2,063;3,234;3,302;2,723;2,722;0,621;2,444;4,068;0,93;2,119;3,625
31.03.2014;1,565;2,083;3,226;3,291;2,735;2,719;0,637;2,456;4,083;0,941;2,111;3,648
01.04.2014;1,572;2,099;3,246;3,288;2,731;2,753;0,615;2,494;4,1303;0,936;2,119;3,572
02.04.2014;1,615;2,136;3,263;3,306;2,773;2,805;0,621;2,547;4,1695;0,952;2,152;3,529
03.04.2014;1,602;2,111;3,223;3,253;2,753;2,798;0,64;2,544;4,1833;0,926;2,139;3,441
04.04.2014;1,552;2,029;3,147;3,168;2,685;2,722;0,643;2,489;4,1535;0,899;2,103;3,428
07.04.2014;1,538;2,039;3,178;3,186;2,663;2,701;0,613;2,459;4,0823;0,884;2,085;3,413
08.04.2014;1,556;2,056;3,203;3,218;2,693;2,682;0,615;2,46;4,0853;0,9;2,102;3,466
09.04.2014;1,574;2,078;3,206;3,2;2,689;2,691;0,611;2,463;4,0703;0,907;2,124;3,472
10.04.2014;1,52;2,017;3,165;3,164;2,618;2,648;0,604;2,437;4,0535;0,878;2,058;3,457
11.04.2014;1,502;2,009;3,184;3,208;2,61;2,626;0,6;2,397;4,0188;0,866;2,024;3,543
14.04.2014;1,525;2,013;3,137;3,172;2,636;2,648;0,603;2,408;3,965;0,86;2,015;3,673
15.04.2014;1,471;1,948;3,087;3,106;2,6;2,629;0,6;2,383;3,9923;0,836;1,962;3,629
16.04.2014;1,484;1,952;3,063;3,097;2,635;2,629;0,605;2,389;3,9775;0,847;1,991;3,579
17.04.2014;1,514;1,986;3,081;3,119;2,666;2,722;0,6;2,442;3,9593;0,863;2,026;3,569
18.04.2014;1,514;1,986;3,081;3,119;2,666;2,722;0,596;2,442;3,9878;0,863;2,026;3,569
21.04.2014;1,514;1,986;3,081;3,119;2,666;2,716;0,603;2,446;3,9875;0,863;2,026;3,569
22.04.2014;1,533;2,009;3,063;3,091;2,71;2,711;0,6;2,44;4,0068;0,878;2,052;3,501
23.04.2014;1,521;2,005;3,042;3,085;2,676;2,7;0,611;2,427;3,9645;0,855;2,03;3,505
24.04.2014;1,529;2,008;3,08;3,122;2,69;2,681;0,612;2,42;3,962;0,812;2,026;3,563
25.04.2014;1,483;1,972;3,06;3,103;2,637;2,663;0,618;2,404;3,9405;0,797;1,98;3,688
28.04.2014;1,496;1,99;3,063;3,132;2,663;2,701;0,612;2,446;3,9268;0,843;1,995;3,883
29.04.2014;1,498;1,994;3,069;3,115;2,686;2,692;0,612;2,439;3,9393;0,845;1,979;3,737
30.04.2014;1,468;1,951;3,012;3,065;2,662;2,647;0,622;2,401;3,9503;0,829;1,957;3,654
01.05.2014;1,468;1,951;2,981;3,062;2,634;2,614;0,617;2,367;3,938;0,829;1,957;3,67
02.05.2014;1,449;1,924;2,973;3,039;2,642;2,585;0,606;2,347;3,9058;0,82;1,939;3,466
05.05.2014;1,457;1,938;2,98;3,039;2,638;2,608;0,606;2,368;3,8705;0,837;1,919;3,541
06.05.2014;1,459;1,927;2,943;3,003;2,657;2,592;0,606;2,371;3,866;0,843;1,935;3,505
07.05.2014;1,472;1,942;2,967;3,013;2,657;2,589;0,596;2,377;3,833;0,83;1,937;3,419
08.05.2014;1,445;1,895;2,879;2,918;2,643;2,617;0,607;2,369;3,8413;0,807;1,914;3,402
09.05.2014;1,454;1,897;2,913;2,951;2,684;2,624;0,603;2,36;3,8205;0,811;1,91;3,402
12.05.2014;1,463;1,917;2,931;2,974;2,732;2,662;0,606;2,399;3,8325;0,803;1,922;3,378
13.05.2014;1,42;1,879;2,899;2,941;2,682;2,61;0,607;2,353;3,8458;0,768;1,89;3,392
14.05.2014;1,367;1,808;2,854;2,91;2,582;2,544;0,597;2,287;3,8048;0,718;1,833;3,353
15.05.2014;1,305;1,762;3,015;3,1;2,523;2,49;0,59;2,252;3,7608;0,695;1,79;3,477
16.05.2014;1,329;1,784;2,95;3,062;2,563;2,524;0,579;2,262;3,715;0,736;1,829;3,492
19.05.2014;1,342;1,81;3,007;3,145;2,587;2,545;0,585;2,261;3,6818;0,744;1,824;3,555
20.05.2014;1,35;1,833;3,089;3,261;2,609;2,512;0,587;2,276;3,7095;0,786;1,837;3,614
21.05.2014;1,423;1,842;3,011;3,2;2,644;2,533;0,593;2,299;3,6565;0,793;1,861;3,629
22.05.2014;1,407;1,819;3,048;3,241;2,652;2,551;0,596;2,321;3,748;0,782;1,857;3,607
23.05.2014;1,412;1,815;2,982;3,151;2,634;2,533;0,587;2,302;3,7823;0,782;1,835;3,569
26.05.2014;1,415;1,825;2,89;2,979;2,634;2,533;0,584;2,319;3,7425;0,769;1,843;3,466
27.05.2014;1,388;1,791;2,886;2,998;2,641;2,515;0,588;2,298;3,746;0,739;1,828;3,46
28.05.2014;1,337;1,724;2,818;2,931;2,547;2,444;0,579;2,221;3,7073;0,703;1,788;3,36
29.05.2014;1,353;1,741;2,859;2,956;2,54;2,465;0,571;2,264;3,6423;0,703;1,788;3,368
30.05.2014;1,357;1,766;2,851;2,962;2,569;2,477;0,573;2,244;3,6555;0,711;1,797;3,346
02.06.2014;1,368;1,772;2,845;2,963;2,613;2,528;0,582;2,277;3,671;0,691;1,815;3,355
03.06.2014;1,407;1,811;2,85;2,997;2,646;2,599;0,584;2,338;3,722;0,715;1,852;3,352
04.06.2014;1,431;1,841;2,877;3,019;2,697;2,603;0,611;2,347;3,7795;0,73;1,873;3,357
05.06.2014;1,403;1,792;2,82;2,931;2,677;2,583;0,613;2,328;3,7743;0,727;1,865;3,328
06.06.2014;1,351;1,703;2,636;2,756;2,654;2,588;0,595;2,317;3,7733;0,694;1,785;3,15
09.06.2014;1,378;1,7;2,571;2,703;2,698;2,604;0,598;2,318;3,7818;0,694;1,813;3,077
10.06.2014;1,403;1,757;2,64;2,804;2,72;2,645;0,597;2,344;3,784;0,774;1,813;2,977
11.06.2014;1,396;1,754;2,634;2,791;2,71;2,64;0,599;2,342;3,8475;0,759;1,811;3,013
12.06.2014;1,386;1,755;2,7;2,819;2,716;2,596;0,597;2,314;3,8222;0,754;1,793;3,007
13.06.2014;1,361;1,731;2,652;2,771;2,744;2,604;0,598;2,31;3,7842;0,739;1,795;3,016
16.06.2014;1,353;1,727;2,668;2,785;2,752;2,598;0,597;2,288;3,7438;0,729;1,777;2,976
17.06.2014;1,399;1,769;2,702;2,823;2,776;2,653;0,59;2,309;3,6983;0,752;1,819;3,064
18.06.2014;1,374;1,845;2,757;2,855;2,739;2,585;0,597;2,259;3,7365;0,74;1,831;3,041
19.06.2014;1,321;1,769;2,713;2,911;2,734;2,621;0,586;2,259;3,6618;0,705;1,792;3,03
20.06.2014;1,343;1,792;2,722;2,945;2,759;2,606;0,582;2,292;3,6768;0,705;1,81;3,064
23.06.2014;1,322;1,779;2,685;2,901;2,737;2,627;0,579;2,331;3,6928;0,7;1,807;3,077
24.06.2014;1,319;1,759;2,653;2,879;2,733;2,579;0,577;2,282;3,6378;0,698;1,927;3,073
25.06.2014;1,26;1,697;2,637;2,849;2,645;2,56;0,569;2,269;3,5888;0,655;1,87;3,068
26.06.2014;1,244;1,683;2,639;2,843;2,635;2,529;0,567;2,239;3,5883;0,652;1,839;3,056
27.06.2014;1,261;1,705;2,637;2,832;2,639;2,535;0,559;2,247;3,5425;0,646;1,855;3,061
30.06.2014;1,244;1,699;2,657;2,845;2,669;2,531;0,561;2,233;3,5415;0,647;1,841;3,161
01.07.2014;1,246;1,704;2,635;2,829;2,704;2,566;0,554;2,248;3,5875;0,637;1,835;3,165
02.07.2014;1,286;1,749;2,726;2,908;2,75;2,627;0,556;2,318;3,5613;0,654;1,878;3,192
03.07.2014;1,288;1,72;2,673;2,843;2,75;2,639;0,561;2,32;3,5403;0,644;1,861;3,216
04.07.2014;1,264;1,695;2,676;2,832;2,756;2,639;0,565;2,328;3,587;0,641;1,819;3,186
07.07.2014;1,255;1,693;2,673;2,81;2,725;2,612;0,562;2,298;3,5903;0,634;1,783;3,198
08.07.2014;1,218;1,652;2,715;2,84;2,646;2,557;0,552;2,247;3,5733;0,604;1,774;3,202
09.07.2014;1,227;1,659;2,752;2,88;2,659;2,551;0,546;2,243;3,519;0,615;1,781;3,246
10.07.2014;1,198;1,638;2,821;2,943;2,626;2,537;0,541;2,236;3,4662;0,591;1,766;3,338
11.07.2014;1,202;1,64;2,768;2,887;2,6;2,517;0,532;2,21;3,4125;0,591;1,744;3,283
14.07.2014;1,208;1,645;2,769;2,875;2,603;2,548;0,536;2,213;3,4418;0,604;1,739;3,156
15.07.2014;1,203;1,635;2,709;2,846;2,643;2,548;0,539;2,212;3,4373;0,606;1,728;3,119
16.07.2014;1,191;1,614;2,66;2,819;2,65;2,527;0,542;2,195;3,4237;0,601;1,709;3,107
17.07.2014;1,148;1,576;2,627;2,787;2,585;2,447;0,532;2,133;3,4098;0,575;1,666;3,131
18.07.2014;1,154;1,573;2,594;2,778;2,57;2,482;0,541;2,16;3,3787;0,54;1,651;3,166
21.07.2014;1,147;1,559;2,567;2,772;2,566;2,468;0,541;2,133;3,3933;0,536;1,642;3,166
22.07.2014;1,165;1,568;2,575;2,773;2,585;2,461;0,535;2,121;3,3717;0,528;1,661;3,145
23.07.2014;1,145;1,541;2,553;2,74;2,553;2,466;0,532;2,128;3,411;0,515;1,647;3,145
24.07.2014;1,176;1,574;2,556;2,726;2,605;2,503;0,521;2,154;3,4245;0,52;1,673;3,131
25.07.2014;1,146;1,551;2,537;2,713;2,569;2,466;0,531;2,114;3,4403;0,504;1,654;3,132
28.07.2014;1,147;1,542;2,491;2,673;2,577;2,486;0,527;2,116;3,4245;0,5;1,663;3,118
29.07.2014;1,119;1,504;2,467;2,638;2,545;2,461;0,519;2,088;3,47;0,479;1,643;3,121
30.07.2014;1,169;1,549;2,519;2,698;2,596;2,558;0,525;2,159;3,424;0,523;1,684;3,115
31.07.2014;1,154;1,529;2,502;2,693;2,601;2,559;0,533;2,156;3,5063;0,531;1,68;3,214
01.08.2014;1,13;1,515;2,557;2,757;2,547;2,493;0,534;2,115;3,5165;0,508;1,687;3,295
04.08.2014;1,134;1,515;2,493;2,694;2,536;2,483;0,527;2,109;3,4922;0,513;1,681;3,244
05.08.2014;1,167;1,565;2,545;2,746;2,579;2,485;0,518;2,11;3,4665;0,52;1,718;3,244
06.08.2014;1,1;1,52;2,583;2,808;2,514;2,472;0,516;2,105;3,5118;0,477;1,66;3,269
07.08.2014;1,061;1,487;2,623;2,87;2,481;2,412;0,522;2,07;3,4177;0,467;1,589;3,284
08.08.2014;1,052;1,457;2,556;2,813;2,459;2,421;0,5;2,063;3,2787;0,442;1,581;3,294
11.08.2014;1,058;1,467;2,538;2,787;2,49;2,428;0,512;2,073;3,4043;0,436;1,613;3,233
12.08.2014;1,058;1,46;2,601;2,74;2,482;2,45;0,509;2,112;3,4188;0,429;1,612;3,183
13.08.2014;1,026;1,425;2,568;2,71;2,44;2,418;0,51;2,072;3,4507;0,414;1,602;3,127
14.08.2014;1,017;1,404;2,483;2,656;2,441;2,402;0,501;2,057;3,3858;0,464;1,594;3,047
15.08.2014;0,952;1,339;2,396;2,584;2,325;2,341;0,498;2,015;3,388;0,439;1,545;3,029
18.08.2014;1,013;1,412;2,451;2,633;2,427;2,394;0,497;2,062;3,3465;0,469;1,6;3,01
19.08.2014;1;1,391;2,422;2,594;2,4;2,401;0,499;2,072;3,405;0,463;1,568;2,994
20.08.2014;0,989;1,379;2,399;2,598;2,417;2,427;0,515;2,097;3,4258;0,457;1,545;2,962
21.08.2014;0,992;1,385;2,398;2,593;2,396;2,408;0,524;2,081;3,4783;0,464;1,559;2,93
22.08.2014;0,981;1,368;2,379;2,575;2,404;2,403;0,505;2,071;3,479;0,494;1,553;2,923
25.08.2014;0,947;1,309;2,257;2,477;2,399;2,383;0,506;2,039;3,4343;0,459;1,506;2,798
26.08.2014;0,938;1,274;2,169;2,412;2,448;2,397;0,498;2,042;3,3527;0,475;1,477;2,752
27.08.2014;0,909;1,253;2,144;2,388;2,371;2,358;0,493;2,006;3,3288;0,441;1,422;2,626
28.08.2014;0,883;1,24;2,229;2,442;2,37;2,337;0,488;1,995;3,323;0,429;1,388;2,647
29.08.2014;0,89;1,253;2,226;2,434;2,367;2,344;0,491;1,993;3,293;0,426;1,39;2,652
01.09.2014;0,881;1,254;2,249;2,42;2,382;2,344;0,491;1,993;3,3235;0,416;1,399;2,656
02.09.2014;0,93;1,314;2,269;2,455;2,44;2,422;0,5;2,09;3,349;0,45;1,448;2,717
03.09.2014;0,954;1,334;2,267;2,458;2,472;2,397;0,529;2,081;3,428;0,485;1,461;2,72
04.09.2014;0,969;1,303;2,155;2,347;2,493;2,451;0,53;2,122;3,428;0,498;1,469;2,663
05.09.2014;0,928;1,257;2,039;2,252;2,462;2,46;0,538;2,115;3,4638;0,47;1,406;2,621
08.09.2014;0,952;1,283;2,084;2,297;2,476;2,472;0,526;2,138;3,45;0,457;1,432;2,617
09.09.2014;0,996;1,346;2,196;2,366;2,478;2,504;0,531;2,174;3,5635;0,529;1,472;2,62
10.09.2014;1,046;1,364;2,259;2,398;2,504;2,542;0,545;2,203;3,57;0,515;1,5;2,66
11.09.2014;1,039;1,4;2,323;2,463;2,497;2,551;0,561;2,195;3,6065;0,504;1,503;2,658
12.09.2014;1,082;1,429;2,342;2,457;2,528;2,611;0,573;2,238;3,608;0,524;1,571;2,688
15.09.2014;1,066;1,426;2,339;2,46;2,541;2,59;0,573;2,233;3,6477;0,506;1,594;2,697
16.09.2014;1,06;1,436;2,338;2,46;2,522;2,593;0,577;2,24;3,617;0,504;1,567;2,692
17.09.2014;1,049;1,405;2,28;2,416;2,516;2,621;0,555;2,263;3,6415;0,498;1,55;2,683
18.09.2014;1,081;1,439;2,273;2,437;2,574;2,615;0,564;2,281;3,7025;0,516;1,593;2,706
19.09.2014;1,042;1,389;2,198;2,368;2,542;2,575;0,559;2,246;3,7268;0,496;1,569;2,637
22.09.2014;1,01;1,346;2,206;2,374;2,494;2,565;0,537;2,226;3,6532;0,463;1,544;2,607
23.09.2014;1,012;1,349;2,198;2,398;2,484;2,528;0,537;2,169;3,554;0,454;1,537;2,594
24.09.2014;1,003;1,34;2,146;2,373;2,48;2,565;0,523;2,199;3,6097;0,476;1,524;2,548
25.09.2014;0,972;1,32;2,149;2,358;2,444;2,503;0,52;2,143;3,576;0,464;1,493;2,544
26.09.2014;0,971;1,311;2,193;2,384;2,467;2,529;0,518;2,161;3,4853;0,467;1,488;2,559
29.09.2014;0,963;1,304;2,219;2,403;2,439;2,478;0,519;2,121;3,4945;0,475;1,492;2,737
30.09.2014;0,946;1,284;2,136;2,332;2,424;2,49;0,526;2,144;3,4802;0,472;1,482;2,685
01.10.2014;0,901;1,241;2,066;2,283;2,359;2,386;0,526;2,069;3,4858;0,439;1,437;2,506
02.10.2014;0,902;1,249;2,108;2,324;2,324;2,426;0,521;2,089;3,4205;0,456;1,44;2,5
03.10.2014;0,925;1,264;2,099;2,306;2,388;2,435;0,513;2,091;3,456;0,466;1,465;2,49
06.10.2014;0,906;1,254;2,143;2,331;2,354;2,421;0,518;2,088;3,4328;0,454;1,446;2,453
07.10.2014;0,905;1,266;2,138;2,344;2,288;2,34;0,508;2,028;3,391;0,453;1,417;2,454
08.10.2014;0,907;1,26;2,097;2,332;2,263;2,322;0,498;2,015;3,3625;0,45;1,406;2,51
09.10.2014;0,905;1,249;2,071;2,311;2,261;2,314;0,487;2,025;3,3045;0,433;1,387;2,452
10.10.2014;0,886;1,251;2,064;2,322;2,216;2,281;0,5;2,011;3,3308;0,434;1,372;2,497
13.10.2014;0,894;1,266;2,081;2,332;2,166;2,281;0,5;2,011;3,298;0,424;1,37;2,527
14.10.2014;0,837;1,199;2,044;2,296;2,126;2,198;0,495;1,941;3,3088;0,415;1,264;2,524
15.10.2014;0,755;1,131;2,111;2,421;1,954;2,137;0,486;1,916;3,3433;0,388;1,147;2,574
16.10.2014;0,819;1,261;2,211;2,577;2,094;2,157;0,482;1,925;3,1925;0,415;1,17;2,778
17.10.2014;0,858;1,297;2,166;2,495;2,188;2,194;0,471;1,949;3,225;0,451;1,226;2,727
20.10.2014;0,848;1,311;2,259;2,593;2,149;2,192;0,483;1,937;3,3075;0,433;1,208;2,767
21.10.2014;0,87;1,294;2,203;2,51;2,171;2,223;0,48;1,963;3,1925;0,437;1,225;2,835
22.10.2014;0,87;1,284;2,202;2,508;2,211;2,217;0,48;1,959;3,2625;0,436;1,226;2,825
23.10.2014;0,901;1,299;2,183;2,501;2,241;2,272;0,473;2,001;3,2583;0,444;1,28;2,782
24.10.2014;0,891;1,305;2,168;2,515;2,23;2,269;0,465;2,011;3,275;0,472;1,265;2,781
27.10.2014;0,868;1,283;2,136;2,551;2,205;2,261;0,469;2,014;3,2983;0,477;1,243;2,777
28.10.2014;0,876;1,276;2,138;2,534;2,235;2,297;0,456;2,027;3,235;0,476;1,194;2,806
29.10.2014;0,897;1,279;2,138;2,503;2,254;2,318;0,461;2,054;3,2952;0,479;1,175;2,834
30.10.2014;0,844;1,229;2,156;2,468;2,224;2,306;0,464;2,044;3,3338;0,452;1,156;2,838
31.10.2014;0,84;1,181;2,072;2,345;2,246;2,336;0,453;2,045;3,2845;0,455;1,181;2,785
03.11.2014;0,852;1,211;2,139;2,412;2,272;2,343;0,453;2,039;3,27;0,462;1,231;2,78
04.11.2014;0,806;1,169;2,178;2,432;2,227;2,334;0,439;2,025;3,3218;0,446;1,183;2,752
05.11.2014;0,826;1,189;2,187;2,428;2,259;2,343;0,466;2,047;3,285;0,445;1,204;2,697
06.11.2014;0,826;1,188;2,155;2,379;2,243;2,387;0,465;2,082;3,247;0,443;1,191;2,654
07.11.2014;0,816;1,183;2,153;2,374;2,201;2,298;0,478;2,025;3,354;0,431;1,182;2,622
10.11.2014;0,834;1,189;2,118;2,348;2,204;2,361;0,45;2,056;3,2815;0,418;1,198;2,635
11.11.2014;0,826;1,172;2,093;2,332;2,235;2,361;0,487;2,056;3,3265;0,403;1,151;2,623
12.11.2014;0,809;1,171;2,105;2,357;2,191;2,372;0,528;2,059;3,3408;0,377;1,138;2,587
13.11.2014;0,798;1,163;2,135;2,374;2,18;2,341;0,497;2,04;3,3478;0,375;1,143;2,573
14.11.2014;0,784;1,139;2,122;2,344;2,115;2,321;0,478;2,031;3,3358;0,378;1,127;2,567
17.11.2014;0,801;1,148;2,107;2,308;2,119;2,341;0,482;2,02;3,2618;0,386;1,132;2,558
18.11.2014;0,796;1,145;2,117;2,323;2,119;2,316;0,508;1,993;3,286;0,384;1,107;2,509
19.11.2014;0,848;1,195;2,127;2,329;2,14;2,36;0,478;2,034;3,2733;0,4;1,14;2,546
20.11.2014;0,798;1,141;2,097;2,303;2,093;2,338;0,468;2,016;3,2738;0,375;1,111;2,497
21.11.2014;0,769;1,11;2,01;2,21;2,047;2,311;0,457;2,005;3,2628;0,368;1,087;2,457
24.11.2014;0,78;1,114;1,97;2,178;2,046;2,307;0,457;1,978;3,2492;0,366;1,096;2,347
25.11.2014;0,747;1,066;1,919;2,137;2,008;2,258;0,447;1,942;3,1962;0,356;1,059;2,301
26.11.2014;0,735;1,05;1,972;2,158;1,979;2,246;0,432;1,933;3,1258;0,336;1,035;2,268
27.11.2014;0,7;0,992;1,886;2,056;1,922;2,246;0,422;1,895;3,1058;0,322;1,009;2,239
28.11.2014;0,7;0,969;1,891;2,031;1,926;2,165;0,416;1,856;3,0258;0,299;1,011;2,133
01.12.2014;0,727;0,988;1,835;2,012;1,897;2,236;0,422;1,894;2,9963;0,308;1,037;2,06
02.12.2014;0,741;1,012;1,846;2,009;1,969;2,293;0,419;1,955;3,1095;0,296;1,066;2,065
03.12.2014;0,747;1,016;1,829;1,981;2,012;2,281;0,431;1,937;3,1013;0,286;1,069;2,074
04.12.2014;0,772;1,037;1,884;2,033;1,987;2,235;0,432;1,906;3,071;0,293;1,073;2,086
05.12.2014;0,78;1,03;1,826;1,975;2,018;2,307;0,416;1,955;3,0395;0,297;1,089;2,067
08.12.2014;0,712;0,97;1,781;1,94;1,96;2,258;0,439;1,894;3,085;0,287;1,05;2,072
09.12.2014;0,685;0,965;1,823;2,033;1,887;2,214;0,414;1,878;3,0295;0,265;1,017;2,089
10.12.2014;0,68;0,961;1,869;2,064;1,909;2,165;0,404;1,83;2,9278;0,244;1,002;2,146
11.12.2014;0,676;0,947;1,872;2,052;1,907;2,163;0,405;1,823;2,8568;0,249;0,997;2,242
12.12.2014;0,623;0,895;1,876;2,062;1,799;2,083;0,391;1,754;2,8918;0,243;0,958;2,276
