`;GTDEM10Y Govt;GTITL10Y Govt;GTGBP10Y Govt;GT10 @BGN Govt;GTJPY10Y Govt;GTCAD10Y Govt;GTAUD10Y Govt;GTCHF10Y Govt;GTSEK10Y Govt
21.10.2021;-0,103;0,94;1,2;1,703;0,085;1,695;1,79;-0,07;0,393
22.10.2021;-0,107;0,998;1,143;1,634;0,093;1,65;1,8;-0,064;0,4
25.10.2021;-0,116;0,964;1,139;1,633;0,101;1,651;1,7875;-0,08;0,385
26.10.2021;-0,119;0,995;1,107;1,609;0,103;1,628;1,805;-0,096;0,37
27.10.2021;-0,18;0,943;0,983;1,543;0,096;1,614;1,8113;-0,154;0,296
28.10.2021;-0,137;1,05;1,005;1,581;0,087;1,67;1,8438;-0,125;0,336
29.10.2021;-0,107;1,168;1,032;1,555;0,094;1,721;2,0875;-0,057;0,357
01.11.2021;-0,104;1,212;1,059;1,557;0,093;1,747;1,905;-0,041;0,325
02.11.2021;-0,166;1,071;1,035;1,551;0,073;1,722;1,89;-0,129;0,264
03.11.2021;-0,17;1,047;1,071;1,605;0,073;1,731;1,8525;-0,127;0,275
04.11.2021;-0,227;0,932;0,937;1,529;0,069;1,654;1,8325;-0,176;0,261
05.11.2021;-0,283;0,875;0,843;1,454;0,055;1,588;1,8125;-0,235;0,217
08.11.2021;-0,245;0,893;0,854;1,491;0,056;1,628;1,7525;-0,217;0,222
09.11.2021;-0,3;0,84;0,823;1,438;0,06;1,591;1,7813;-0,248;0,209
10.11.2021;-0,25;0,935;0,922;1,552;0,059;1,683;1,7325;-0,19;0,245
11.11.2021;-0,233;0,961;0,919;1,552;0,065;1,683;1,8125;-0,14;0,285
12.11.2021;-0,26;0,953;0,911;1,564;0,071;1,668;1,795;-0,171;0,258
15.11.2021;-0,23;0,994;0,962;1,616;0,063;1,722;1,7663;-0,146;0,285
16.11.2021;-0,244;0,969;0,988;1,635;0,071;1,783;1,8325;-0,145;0,304
17.11.2021;-0,248;0,974;0,961;1,59;0,074;1,691;1,86;-0,15;0,308
18.11.2021;-0,277;0,919;0,923;1,586;0,074;1,695;1,795;-0,179;0,268
19.11.2021;-0,344;0,862;0,877;1,549;0,075;1,657;1,81;-0,228;0,199
22.11.2021;-0,303;0,955;0,932;1,625;0,071;1,761;1,7925;-0,209;0,219
23.11.2021;-0,222;1,06;0,995;1,668;0,071;1,805;1,8675;-0,167;0,269
24.11.2021;-0,23;1,073;0,995;1,637;0,079;1,779;1,86;-0,157;0,282
25.11.2021;-0,253;1,054;0,966;1,637;0,081;1,758;1,87;-0,175;0,254
26.11.2021;-0,338;0,972;0,822;1,476;0,071;1,603;1,7375;-0,256;0,171
29.11.2021;-0,319;0,976;0,859;1,501;0,07;1,615;1,7425;-0,227;0,19
30.11.2021;-0,351;0,968;0,807;1,447;0,053;1,567;1,69;-0,259;0,13
01.12.2021;-0,345;1,009;0,819;1,405;0,061;1,494;1,73;-0,272;0,147
02.12.2021;-0,372;0,953;0,81;1,446;0,058;1,505;1,68;-0,306;0,086
03.12.2021;-0,391;0,914;0,746;1,345;0,048;1,437;1,61;-0,313;0,084
06.12.2021;-0,391;0,877;0,731;1,436;0,04;1,523;1,5825;-0,329;0,071
07.12.2021;-0,377;0,92;0,727;1,476;0,051;1,579;1,6475;-0,318;0,064
08.12.2021;-0,315;1,025;0,774;1,523;0,046;1,591;1,62;-0,287;0,096
09.12.2021;-0,356;0,995;0,754;1,501;0,043;1,51;1,6775;-0,32;0,057
10.12.2021;-0,349;0,963;0,739;1,485;0,05;1,464;1,635;-0,331;0,074
13.12.2021;-0,384;0,907;0,695;1,417;0,048;1,392;1,6025;-0,345;0,063
14.12.2021;-0,371;0,932;0,722;1,443;0,048;1,429;1,5413;-0,319;0,085
15.12.2021;-0,364;0,917;0,733;1,459;0,048;1,407;1,56;-0,304;0,09
16.12.2021;-0,352;0,973;0,755;1,412;0,043;1,338;1,5663;-0,296;0,11
17.12.2021;-0,382;0,894;0,756;1,404;0,044;1,321;1,5863;-0,314;0,099
20.12.2021;-0,371;0,929;0,77;1,425;0,038;1,39;1,54;-0,322;0,098
21.12.2021;-0,309;1,005;0,871;1,463;0,049;1,439;1,5987;-0,245;0,136
22.12.2021;-0,295;1,048;0,883;1,453;0,057;1,417;1,5838;-0,23;0,154
23.12.2021;-0,253;1,111;0,919;1,494;0,06;1,435;1,5913;-0,204;0,177
24.12.2021;-0,253;1,111;0,92;1,494;0,061;1,462;1,5775;-0,205;0,177
27.12.2021;-0,246;1,12;0,92;1,478;0,056;1,462;1,5775;-0,211;0,188
28.12.2021;-0,24;1,094;0,92;1,483;0,056;1,462;1,5775;-0,206;0,196
29.12.2021;-0,188;1,153;1,011;1,552;0,057;1,482;1,5313;-0,162;0,227
30.12.2021;-0,182;1,17;0,975;1,511;0,065;1,447;1,6288;-0,152;0,22
31.12.2021;-0,182;1,17;0,968;1,512;0,065;1,424;1,67;-0,153;0,22
03.01.2022;-0,122;1,204;0,968;1,63;0,065;1,424;1,67;-0,123;0,279
04.01.2022;-0,124;1,214;1,083;1,649;0,083;1,584;1,7475;-0,102;0,295
05.01.2022;-0,086;1,234;1,086;1,707;0,082;1,638;1,785;-0,076;0,302
06.01.2022;-0,063;1,271;1,155;1,723;0,121;1,699;1,865;-0,045;0,302
07.01.2022;-0,045;1,312;1,177;1,764;0,136;1,718;1,855;-0,009;0,364
10.01.2022;-0,036;1,285;1,189;1,761;0,136;1,711;1,9188;0,007;0,401
11.01.2022;-0,029;1,306;1,168;1,737;0,148;1,709;1,8938;0,019;0,413
12.01.2022;-0,061;1,262;1,137;1,745;0,127;1,73;1,8513;-0,039;0,375
13.01.2022;-0,092;1,216;1,104;1,706;0,128;1,702;1,86;-0,027;0,35
14.01.2022;-0,048;1,271;1,148;1,787;0,137;1,771;1,8513;0,003;0,357
17.01.2022;-0,027;1,292;1,185;1,787;0,143;1,798;1,9188;0,021;0,361
18.01.2022;-0,02;1,315;1,216;1,875;0,139;1,89;1,9475;0,025;0,367
19.01.2022;-0,014;1,337;1,255;1,866;0,14;1,876;1,9975;0,033;0,378
20.01.2022;-0,027;1,301;1,224;1,806;0,143;1,834;1,9925;0,019;0,354
21.01.2022;-0,067;1,287;1,169;1,76;0,132;1,789;1,9175;-0,003;0,31
24.01.2022;-0,109;1,282;1,125;1,772;0,137;1,81;1,9375;-0,025;0,29
25.01.2022;-0,082;1,288;1,163;1,771;0,137;1,803;1,945;-0,012;0,292
26.01.2022;-0,076;1,326;1,196;1,866;0,138;1,84;1,945;-0,002;0,297
27.01.2022;-0,06;1,285;1,227;1,801;0,156;1,775;2,0225;0,003;0,324
28.01.2022;-0,047;1,281;1,242;1,772;0,168;1,758;1,94;0,018;0,343
31.01.2022;0,009;1,293;1,301;1,778;0,174;1,77;1,895;0,068;0,383
01.02.2022;0,034;1,412;1,298;1,789;0,177;1,79;1,9025;0,079;0,406
02.02.2022;0,038;1,428;1,255;1,777;0,177;1,756;1,9125;0,09;0,424
03.02.2022;0,139;1,641;1,366;1,832;0,173;1,799;1,8675;0,176;0,521
04.02.2022;0,203;1,744;1,409;1,911;0,194;1,853;1,96;0,246;0,595
07.02.2022;0,225;1,78;1,407;1,917;0,194;1,836;1,995;0,266;0,656
08.02.2022;0,263;1,846;1,488;1,965;0,214;1,855;2,12;0,326;0,69
09.02.2022;0,21;1,75;1,428;1,942;0,207;1,844;2,105;0,255;0,659
10.02.2022;0,281;1,889;1,523;2,032;0,228;1,94;2,105;0,307;0,665
11.02.2022;0,294;1,951;1,543;1,941;0,228;1,851;2,21;0,297;0,657
14.02.2022;0,281;1,969;1,588;1,989;0,213;1,905;2,1375;0,289;0,634
15.02.2022;0,306;1,956;1,581;2,045;0,214;1,969;2,1875;0,32;0,662
16.02.2022;0,274;1,909;1,523;2,04;0,213;1,951;2,2325;0,273;0,602
17.02.2022;0,229;1,834;1,462;1,963;0,22;1,916;2,2075;0,242;0,569
18.02.2022;0,19;1,837;1,377;1,931;0,211;1,875;2,2475;0,243;0,579
21.02.2022;0,205;1,909;1,407;1,931;0,208;1,875;2,22;0,223;0,599
22.02.2022;0,241;1,922;1,47;1,941;0,193;1,92;2,2;0,242;0,666
23.02.2022;0,226;1,939;1,478;1,992;0,193;1,974;2,27;0,258;0,67
24.02.2022;0,169;1,814;1,446;1,966;0,195;1,917;2,1575;0,234;0,568
25.02.2022;0,229;1,833;1,456;1,964;0,208;1,898;2,2325;0,296;0,611
28.02.2022;0,132;1,705;1,408;1,827;0,187;1,811;2,1375;0,232;0,534
01.03.2022;-0,076;1,4;1,126;1,73;0,173;1,709;2,1875;0,061;0,38
02.03.2022;0,023;1,552;1,257;1,879;0,134;1,817;2,075;0,131;0,393
03.03.2022;0,016;1,569;1,298;1,842;0,173;1,777;2,165;0,167;0,471
04.03.2022;-0,073;1,535;1,207;1,733;0,158;1,667;2,15;0,143;0,415
07.03.2022;-0,019;1,593;1,303;1,776;0,143;1,723;2,1363;0,154;0,461
08.03.2022;0,109;1,594;1,445;1,848;0,156;1,815;2,2313;0,214;0,558
09.03.2022;0,213;1,677;1,525;1,955;0,161;1,9;2,3163;0,268;0,628
10.03.2022;0,27;1,9;1,522;1,99;0,19;1,935;2,3663;0,321;0,67
11.03.2022;0,246;1,848;1,489;1,995;0,182;1,992;2,3987;0,32;0,678
14.03.2022;0,365;1,961;1,593;2,135;0,194;2,156;2,4538;0,394;0,787
15.03.2022;0,33;1,896;1,574;2,146;0,201;2,189;2,52;0,366;0,771
16.03.2022;0,389;1,893;1,628;2,188;0,208;2,178;2,4975;0,409;0,844
17.03.2022;0,382;1,901;1,562;2,173;0,201;2,182;2,5088;0,378;0,845
18.03.2022;0,37;1,89;1,495;2,152;0,203;2,19;2,5775;0,354;0,842
21.03.2022;0,467;2,007;1,637;2,292;0,203;2,325;2,5825;0,427;0,922
22.03.2022;0,502;2,021;1,707;2,384;0,21;2,415;2,7225;0,463;1,016
23.03.2022;0,464;1,982;1,625;2,294;0,223;2,31;2,775;0,45;1,052
24.03.2022;0,529;2,051;1,645;2,374;0,224;2,393;2,7675;0,48;1,14
25.03.2022;0,584;2,08;1,694;2,477;0,234;2,544;2,7775;0,531;1,181
28.03.2022;0,576;2,104;1,616;2,461;0,247;2,508;2,9025;0,566;1,211
29.03.2022;0,63;2,113;1,641;2,397;0,248;2,479;2,8975;0,658;1,269
30.03.2022;0,643;2,127;1,664;2,352;0,222;2,438;2,7925;0,677;1,31
31.03.2022;0,545;2,037;1,609;2,341;0,21;2,403;2,84;0,572;1,197
01.04.2022;0,553;2,091;1,607;2,385;0,219;2,432;2,8275;0,582;1,18
04.04.2022;0,503;2,068;1,546;2,398;0,21;2,438;2,8325;0,52;1,124
05.04.2022;0,612;2,26;1,652;2,549;0,213;2,514;2,855;0,605;1,212
06.04.2022;0,645;2,299;1,702;2,6;0,24;2,513;2,9313;0,652;1,341
07.04.2022;0,679;2,333;1,728;2,66;0,226;2,577;2,9138;0,684;1,372
08.04.2022;0,704;2,396;1,748;2,705;0,225;2,634;2,9638;0,69;1,419
11.04.2022;0,814;2,463;1,846;2,782;0,236;2,692;3,0088;0,786;1,522
12.04.2022;0,788;2,406;1,802;2,724;0,241;2,643;3,0813;0,822;1,502
13.04.2022;0,764;2,372;1,798;2,702;0,237;2,636;3,0738;0,784;1,467
14.04.2022;0,839;2,481;1,888;2,829;0,226;2,759;2,97;0,822;1,513
15.04.2022;0,839;2,481;1,888;2,829;0,238;2,759;2,97;0,822;1,513
18.04.2022;0,839;2,481;1,888;2,856;0,241;2,784;2,97;0,822;1,513
19.04.2022;0,908;2,543;1,966;2,939;0,243;2,822;3,065;0,914;1,6
20.04.2022;0,854;2,507;1,914;2,835;0,249;2,818;3,1088;0,851;1,562
21.04.2022;0,945;2,604;2,011;2,912;0,247;2,885;3,0813;0,861;1,6
22.04.2022;0,969;2,669;1,961;2,902;0,246;2,866;3,13;0,872;1,62
25.04.2022;0,835;2,575;1,839;2,823;0,241;2,796;3,13;0,804;1,539
26.04.2022;0,812;2,554;1,795;2,723;0,239;2,708;3,1037;0,765;1,505
27.04.2022;0,799;2,571;1,81;2,834;0,241;2,798;3,055;0,769;1,504
28.04.2022;0,898;2,711;1,875;2,825;0,221;2,786;3,0813;0,855;1,636
29.04.2022;0,937;2,773;1,904;2,937;0,221;2,864;3,125;0,842;1,706
02.05.2022;0,965;2,859;1,904;2,985;0,225;2,939;3,26;0,869;1,773
03.05.2022;0,963;2,88;1,957;2,975;0,225;2,955;3,3963;0,813;1,815
04.05.2022;0,969;2,955;1,965;2,937;0,225;2,921;3,5413;0,829;1,914
05.05.2022;1,042;3,037;1,963;3,04;0,225;3,021;3,39;0,869;1,944
06.05.2022;1,129;3,134;1,994;3,131;0,238;3,125;3,47;0,986;2,02
09.05.2022;1,093;3,148;1,954;3,037;0,242;3,019;3,5625;0,964;2,033
10.05.2022;0,998;2,998;1,846;2,994;0,242;3,002;3,565;0,916;1,943
11.05.2022;0,983;2,894;1,824;2,927;0,242;3,001;3,505;0,864;1,964
12.05.2022;0,837;2,71;1,659;2,851;0,242;2,908;3,4263;0,682;1,796
13.05.2022;0,944;2,849;1,742;2,921;0,241;2,958;3,4025;0,738;1,799
16.05.2022;0,935;2,84;1,729;2,885;0,24;2,92;3,3838;0,711;1,824
17.05.2022;1,043;2,958;1,879;2,988;0,241;3,026;3,405;0,782;1,903
18.05.2022;1,027;2,959;1,863;2,887;0,239;2,944;3,46;0,725;1,85
19.05.2022;0,947;2,899;1,863;2,84;0,239;2,881;3,3825;0,682;1,743
20.05.2022;0,941;2,996;1,892;2,783;0,238;2,833;3,3125;0,671;1,738
23.05.2022;1,014;3,03;1,969;2,853;0,235;2,833;3,3275;0,705;1,714
24.05.2022;0,965;2,974;1,886;2,753;0,231;2,807;3,3175;0,669;1,666
25.05.2022;0,949;2,95;1,908;2,747;0,208;2,773;3,24;0,696;1,64
26.05.2022;0,996;2,892;1,967;2,75;0,234;2,794;3,2025;0,696;1,64
27.05.2022;0,96;2,896;1,916;2,74;0,228;2,788;3,255;0,712;1,573
30.05.2022;1,053;2,994;1,988;2,74;0,231;2,824;3,255;0,785;1,514
31.05.2022;1,12;3,115;2,1;2,847;0,235;2,89;3,3513;0,859;1,583
01.06.2022;1,184;3,2;2,154;2,909;0,232;2,975;3,4188;0,9;1,661
02.06.2022;1,234;3,296;2,154;2,91;0,238;2,998;3,5;0,953;1,734
03.06.2022;1,27;3,397;2,154;2,937;0,231;3,062;3,4838;1;1,798
06.06.2022;1,319;3,409;2,246;3,042;0,239;3,191;3,4838;1;1,798
07.06.2022;1,29;3,287;2,213;2,976;0,243;3,184;3,5575;0,989;1,852
08.06.2022;1,351;3,37;2,245;3,023;0,244;3,267;3,5463;1,022;1,886
09.06.2022;1,426;3,596;2,322;3,044;0,245;3,23;3,6063;1,059;1,903
10.06.2022;1,514;3,758;2,445;3,158;0,247;3,346;3,6738;1,105;1,872
13.06.2022;1,629;4,021;2,527;3,365;0,251;3,515;3,6738;1,259;1,921
14.06.2022;1,751;4,171;2,585;3,476;0,239;3,62;3,955;1,4;2,043
15.06.2022;1,639;3,807;2,465;3,288;0,246;3,457;4,2;1,309;2,012
16.06.2022;1,71;3,741;2,515;3,198;0,253;3,374;3,9925;1,404;2,095
17.06.2022;1,657;3,582;2,496;3,228;0,223;3,403;4,13;1,362;1,969
20.06.2022;1,745;3,697;2,602;3,228;0,234;3,458;4,0688;1,414;1,852
21.06.2022;1,767;3,688;2,652;3,278;0,232;3,5;4,0638;1,415;1,897
22.06.2022;1,633;3,536;2,497;3,16;0,238;3,415;3,9863;1,345;1,845
23.06.2022;1,425;3,377;2,314;3,091;0,229;3,302;3,8525;1,19;1,74
24.06.2022;1,437;3,437;2,3;3,135;0,225;3,323;3,7188;1,239;1,74
27.06.2022;1,544;3,51;2,391;3,203;0,237;3,38;3,775;1,319;1,812
28.06.2022;1,624;3,551;2,463;3,174;0,232;3,335;3,7375;1,351;1,878
29.06.2022;1,517;3,392;2,382;3,092;0,228;3,303;3,6938;1,204;1,819
30.06.2022;1,333;3,257;2,228;3,016;0,225;3,221;3,66;1,017;1,684
01.07.2022;1,229;3,079;2,083;2,882;0,217;3,221;3,595;0,806;1,525
04.07.2022;1,33;3,235;2,194;2,882;0,222;3,173;3,56;0,89;1,598
05.07.2022;1,175;3,145;2,047;2,808;0,216;3,08;3,5475;0,768;1,493
06.07.2022;1,203;3,147;2,09;2,932;0,243;3,186;3,4038;0,706;1,403
07.07.2022;1,314;3,3;2,126;2,997;0,243;3,214;3,4688;0,818;1,446
08.07.2022;1,341;3,28;2,231;3,082;0,241;3,293;3,4788;0,865;1,478
11.07.2022;1,242;3,206;2,176;2,995;0,238;3,234;3,51;0,817;1,434
12.07.2022;1,129;3,108;2,073;2,971;0,237;3,185;3,4163;0,708;1,379
13.07.2022;1,141;3,136;2,058;2,935;0,226;3,151;3,3875;0,692;1,431
14.07.2022;1,174;3,243;2,099;2,962;0,23;3,142;3,4113;0,721;1,505
15.07.2022;1,129;3,266;2,088;2,919;0,229;3,07;3,4075;0,709;1,513
18.07.2022;1,211;3,279;2,155;2,987;0,229;3,072;3,4363;0,782;1,587
19.07.2022;1,273;3,32;2,177;3,023;0,232;3,084;3,51;0,817;1,622
20.07.2022;1,253;3,383;2,138;3,027;0,239;3,115;3,545;0,807;1,609
21.07.2022;1,218;3,533;2,044;2,877;0,23;2,948;3,5713;0,788;1,616
22.07.2022;1,027;3,305;1,936;2,752;0,209;2,832;3,44;0,671;1,449
25.07.2022;1,015;3,282;1,934;2,798;0,191;2,857;3,3538;0,612;1,435
26.07.2022;0,922;3,24;1,915;2,809;0,202;2,815;3,34;0,523;1,368
27.07.2022;0,943;3,318;1,956;2,788;0,193;2,762;3,2488;0,505;1,401
28.07.2022;0,823;3,166;1,865;2,677;0,199;2,608;3,2063;0,383;1,32
29.07.2022;0,814;3,011;1,861;2,651;0,178;2,608;3,0563;0,402;1,356
01.08.2022;0,776;2,88;1,805;2,576;0,179;2,608;3,0563;0,402;1,321
02.08.2022;0,816;3,058;1,866;2,749;0,169;2,709;2,9763;0,401;1,288
03.08.2022;0,871;3,01;1,91;2,706;0,183;2,714;3,0738;0,432;1,337
04.08.2022;0,8;2,928;1,887;2,689;0,171;2,673;3,1438;0,383;1,271
05.08.2022;0,952;3,017;2,047;2,83;0,162;2,741;3,0862;0,519;1,396
08.08.2022;0,895;3,032;1,95;2,758;0,168;2,672;3,2125;0,437;1,361
09.08.2022;0,917;3,043;1,968;2,78;0,164;2,692;3,1838;0,458;1,396
10.08.2022;0,886;2,986;1,949;2,785;0,184;2,668;3,2438;0,398;1,356
11.08.2022;0,969;3,02;2,057;2,889;0,184;2,782;3,2888;0,468;1,381
12.08.2022;0,985;3,049;2,109;2,834;0,184;2,735;3,4275;0,459;1,388
15.08.2022;0,897;2,969;2,015;2,789;0,183;2,694;3,3638;0,376;1,318
16.08.2022;0,969;3,129;2,124;2,805;0,168;2,753;3,2238;0,443;1,349
17.08.2022;1,08;3,31;2,286;2,9;0,183;2,86;3,2737;0,508;1,433
18.08.2022;1,099;3,319;2,308;2,883;0,198;2,839;3,3338;0,488;1,445
19.08.2022;1,227;3,492;2,409;2,975;0,196;2,939;3,405;0,62;1,569
22.08.2022;1,303;3,622;2,512;3,017;0,216;3,006;3,5188;0,695;1,604
23.08.2022;1,316;3,64;2,573;3,048;0,214;3,04;3,5788;0,741;1,687
24.08.2022;1,367;3,676;2,695;3,107;0,222;3,097;3,6288;0,795;1,791
25.08.2022;1,313;3,547;2,615;3,028;0,225;3,006;3,6738;0,734;1,788
26.08.2022;1,386;3,691;2,6;3,043;0,217;3,015;3,5763;0,783;1,852
29.08.2022;1,5;3,798;2,6;3,105;0,242;3,084;3,6688;0,858;1,952
30.08.2022;1,508;3,82;2,702;3,104;0,222;3,071;3,6038;0,78;1,918
31.08.2022;1,537;3,884;2,798;3,195;0,22;3,116;3,595;0,793;1,874
01.09.2022;1,558;3,918;2,876;3,255;0,237;3,171;3,685;0,839;1,906
02.09.2022;1,521;3,831;2,916;3,192;0,235;3,088;3,6463;0,817;1,847
05.09.2022;1,56;3,935;2,937;3,192;0,231;3,088;3,6488;0,86;1,892
06.09.2022;1,634;3,98;3,096;3,35;0,236;3,192;3,65;0,919;1,934
07.09.2022;1,573;3,857;3,03;3,265;0,245;3,139;3,705;0,871;1,857
08.09.2022;1,712;3,964;3,144;3,319;0,246;3,196;3,5675;0,909;1,909
09.09.2022;1,694;4,011;3,091;3,313;0,245;3,131;3,5588;0,965;1,881
12.09.2022;1,65;3,956;3,078;3,36;0,243;3,139;3,63;0,921;1,853
13.09.2022;1,726;3,99;3,168;3,409;0,239;3,193;3,57;1,035;1,901
14.09.2022;1,712;3,992;3,129;3,405;0,252;3,157;3,635;1,031;1,9
15.09.2022;1,766;4,047;3,162;3,451;0,251;3,145;3,6825;1,051;1,872
16.09.2022;1,754;4,024;3,134;3,452;0,25;3,136;3,7225;1,059;1,852
19.09.2022;1,802;4,082;3,134;3,491;0,25;3,14;3,6775;1,077;1,886
20.09.2022;1,923;4,184;3,288;3,564;0,252;3,1;3,6325;1,26;1,979
21.09.2022;1,889;4,125;3,309;3,532;0,251;3,034;3,665;1,254;1,914
22.09.2022;1,961;4,161;3,491;3,715;0,23;3,12;3,665;1,31;1,956
23.09.2022;2,02;4,331;3,824;3,689;0,23;3,07;3,91;1,329;2,046
26.09.2022;2,111;4,55;4,24;3,926;0,244;3,226;3,9863;1,36;2,11
27.09.2022;2,226;4,743;4,502;3,947;0,245;3,317;4,0238;1,497;2,168
28.09.2022;2,115;4,517;4,006;3,733;0,24;3,079;4,095;1,342;2,119
29.09.2022;2,178;4,645;4,136;3,789;0,247;3,171;3,935;1,28;2,168
30.09.2022;2,105;4,508;4,085;3,832;0,238;3,171;3,885;1,191;2,106
03.10.2022;1,913;4,235;3,954;3,641;0,238;3,132;3,8988;1,003;2,043
04.10.2022;1,867;4,17;3,867;3,635;0,216;3,121;3,73;0,955;1,969
05.10.2022;2,029;4,464;4,028;3,756;0,246;3,279;3,635;1,118;2,065
06.10.2022;2,082;4,509;4,161;3,825;0,247;3,301;3,775;1,202;2,093
07.10.2022;2,191;4,696;4,23;3,883;0,246;3,383;3,8475;1,354;2,189
10.10.2022;2,337;4,627;4,466;3,883;0,246;3,383;3,8675;1,483;2,212
11.10.2022;2,294;4,668;4,434;3,949;0,249;3,473;4,0375;1,453;2,242
12.10.2022;2,309;4,728;4,428;3,897;0,25;3,42;3,9475;1,458;2,244
13.10.2022;2,281;4,67;4,192;3,946;0,245;3,419;4,0025;1,365;2,157
14.10.2022;2,343;4,784;4,325;4,021;0,245;3,485;4,0075;1,344;2,163
17.10.2022;2,266;4,651;3,967;4,012;0,25;3,42;4,0225;1,29;2,126
18.10.2022;2,281;4,684;3,943;4,009;0,25;3,349;3,9188;1,225;2,13
19.10.2022;2,371;4,764;3,872;4,136;0,252;3,543;3,945;1,269;2,189
20.10.2022;2,399;4,743;3,904;4,229;0,25;3,673;4,06;1,299;2,244
21.10.2022;2,413;4,738;4,046;4,22;0,251;3,613;4,1988;1,325;2,272
24.10.2022;2,327;4,577;3,737;4,244;0,25;3,572;4,1475;1,29;2,228
25.10.2022;2,167;4,367;3,628;4,103;0,249;3,482;4,075;1,172;2,141
26.10.2022;2,109;4,318;3,571;4,005;0,248;3,274;3,9175;1,157;2,13
27.10.2022;1,959;3,997;3,395;3,921;0,251;3,191;3,83;1,029;2,059
28.10.2022;2,099;4,167;3,472;4,016;0,242;3,232;3,735;1,069;2,129
31.10.2022;2,139;4,293;3,507;4,05;0,241;3,249;3,755;1,122;2,172
01.11.2022;2,129;4,256;3,464;4,044;0,251;3,244;3,7625;1,113;2,147
02.11.2022;2,135;4,289;3,394;4,104;0,248;3,331;3,81;1,094;2,126
03.11.2022;2,242;4,411;3,51;4,149;0,248;3,411;3,92;1,162;2,173
04.11.2022;2,292;4,458;3,532;4,16;0,251;3,501;3,85;1,167;2,161
07.11.2022;2,341;4,479;3,634;4,216;0,252;3,599;3,905;1,155;2,163
08.11.2022;2,278;4,383;3,546;4,127;0,247;3,478;4,035;1,098;2,131
09.11.2022;2,167;4,278;3,449;4,095;0,248;3,394;3,865;1,053;2,093
10.11.2022;2,005;3,995;3,286;3,814;0,247;3,143;3,7188;0,943;1,94
11.11.2022;2,157;4,199;3,352;3,814;0,236;3,143;3,6538;1,067;2,013
14.11.2022;2,143;4,172;3,361;3,856;0,239;3,157;3,7638;1,082;1,998
15.11.2022;2,105;4,05;3,29;3,772;0,239;3,12;3,7588;1,044;2,001
16.11.2022;1,994;3,927;3,142;3,692;0,243;3,057;3,7263;0,993;1,974
17.11.2022;2,015;3,925;3,195;3,768;0,241;3,105;3,6163;1,021;1,985
18.11.2022;2,01;3,888;3,233;3,83;0,245;3,119;3,6113;1;1,966
21.11.2022;1,989;3,931;3,18;3,83;0,242;3,079;3,5863;0,965;1,951
22.11.2022;1,975;3,905;3,133;3,757;0,243;3,033;3,5938;0,972;1,933
23.11.2022;1,926;3,8;3,008;3,695;0,243;2,967;3,5888;0,967;1,891
24.11.2022;1,847;3,664;3,032;3,695;0,244;2,931;3,5438;0,934;1,809
25.11.2022;1,971;3,845;3,117;3,682;0,25;2,932;3,5738;1,038;1,898
28.11.2022;1,986;3,903;3,12;3,683;0,248;2,938;3,515;1,023;1,917
29.11.2022;1,918;3,815;3,095;3,746;0,249;2,995;3,6038;1,023;1,85
30.11.2022;1,926;3,869;3,155;3,607;0,249;2,936;3,5288;1,079;1,863
01.12.2022;1,81;3,693;3,097;3,508;0,248;2,833;3,4813;1,005;1,746
02.12.2022;1,851;3,759;3,148;3,489;0,25;2,778;3,3913;1,02;1,762
05.12.2022;1,877;3,746;3,099;3,576;0,25;2,814;3,3663;1,057;1,769
06.12.2022;1,794;3,645;3,073;3,533;0,251;2,772;3,3963;0,982;1,723
07.12.2022;1,778;3,599;3,04;3,419;0,25;2,756;3,3563;1,007;1,696
08.12.2022;1,815;3,687;3,085;3,484;0,25;2,792;3,3663;1,026;1,699
09.12.2022;1,928;3,83;3,176;3,582;0,248;2,88;3,295;1,122;1,728
12.12.2022;1,935;3,821;3,196;3,613;0,248;2,922;3,3813;1,163;1,713
13.12.2022;1,92;3,792;3,295;3,503;0,25;2,843;3,3988;1,144;1,649
14.12.2022;1,936;3,858;3,309;3,48;0,247;2,822;3,3638;1,115;1,74
15.12.2022;2,078;4,153;3,239;3,449;0,251;2,781;3,455;1,187;1,872
16.12.2022;2,148;4,288;3,324;3,488;0,25;2,812;3,455;1,239;1,978
19.12.2022;2,199;4,37;3,495;3,587;0,251;2,894;3,5325;1,278;2,047
20.12.2022;2,298;4,466;3,588;3,686;0,4;3,009;3,7275;1,394;2,135
21.12.2022;2,308;4,425;3,568;3,664;0,473;3,019;3,7263;1,458;2,192
22.12.2022;2,357;4,468;3,587;3,681;0,391;3,077;3,795;1,464;2,257
23.12.2022;2,393;4,491;3,634;3,749;0,376;3,166;3,8275;1,495;2,28
26.12.2022;2,393;4,491;3,634;3,749;0,434;3,166;3,8275;1,495;2,28
27.12.2022;2,518;4,619;3,634;3,844;0,464;3,166;3,8275;1,535;2,319
28.12.2022;2,494;4,62;3,655;3,885;0,455;3,288;4,0337;1,533;2,379
29.12.2022;2,433;4,51;3,657;3,817;0,45;3,267;4,025;1,5;2,348
30.12.2022;2,565;4,698;3,665;3,877;0,413;3,298;4,05;1,58;2,384
02.01.2023;2,436;4,547;3,665;3,877;0,413;3,298;4,05;1,58;2,384
03.01.2023;2,384;4,492;3,648;3,741;0,413;3,188;4,0025;1,43;2,263
04.01.2023;2,268;4,271;3,487;3,686;0,452;3,132;3,9025;1,326;2,178
